FromId,ToId,Value
"353",11,True
"354",11,True
"356",11,True
"357",11,True
"359",11,True
"361",11,True
"362",11,True
"364",11,True
"365",11,True
"367",11,True
"368",11,True
"370",11,True
"372",11,True
"373",11,True
"374",11,True
"375",11,True
"377",11,True
"379",11,True
"380",11,True
"382",11,True
"383",11,True
"385",11,True
"386",11,True
"388",11,True
"390",11,True
"391",11,True
"392",11,True
"394",11,True
"396",11,True
"398",11,True
"399",11,True
"400",11,True
"401",11,True
"403",11,True
"405",11,True
"406",11,True
"408",11,True
"409",11,True
"411",11,True
"412",11,True
"414",11,True
"415",11,True
"416",11,True
"418",11,True
"420",11,True
"421",11,True
"423",11,True
"424",11,True
"426",11,True
"427",11,True
"429",11,True
"431",11,True
"432",11,True
"433",11,True
"434",11,True
"436",11,True
"438",11,True
"439",11,True
"441",11,True
"442",11,True
"444",11,True
"445",11,True
"447",11,True
"449",11,True
"450",11,True
"451",11,True
"453",11,True
"454",11,True
"456",11,True
"457",11,True
"458",11,True
"460",11,True
"462",11,True
"463",11,True
"464",11,True
"466",11,True
"467",11,True
"469",11,True
"470",11,True
"471",11,True
"473",11,True
"475",11,True
"476",11,True
"477",11,True
"479",11,True
"480",11,True
"482",11,True
"483",11,True
"484",11,True
"486",11,True
"487",11,True
"489",11,True
"490",11,True
"491",11,True
"493",11,True
"495",11,True
"496",11,True
"497",11,True
"499",11,True
"500",11,True
"502",11,True
"503",11,True
"504",11,True
"506",11,True
"507",11,True
"509",11,True
"510",11,True
"511",11,True
"513",11,True
"514",11,True
"516",11,True
"517",11,True
"518",11,True
"520",11,True
"522",11,True
"523",11,True
"524",11,True
"526",11,True
"527",11,True
"530",11,True
"531",11,True
"533",11,True
"534",11,True
"536",11,True
"537",11,True
"538",11,True
"540",11,True
"541",11,True
"543",11,True
"544",11,True
"545",11,True
"547",11,True
"549",11,True
"550",11,True
"551",11,True
"553",11,True
"554",11,True
"556",11,True
"557",11,True
"559",11,True
"560",11,True
"562",11,True
"563",11,True
"565",11,True
"566",11,True
"568",11,True
"569",11,True
"570",11,True
"572",11,True
"573",11,True
"575",11,True
"576",11,True
"577",11,True
"579",11,True
"581",11,True
"582",11,True
"583",11,True
"584",11,True
"586",11,True
"587",11,True
"589",11,True
"590",11,True
"592",11,True
"593",11,True
"595",11,True
"596",11,True
"597",11,True
"599",11,True
"601",11,True
"602",11,True
"603",11,True
"604",11,True
"606",11,True
"607",11,True
"610",11,True
"611",11,True
"613",11,True
"614",11,True
"616",11,True
"617",11,True
"618",11,True
"620",11,True
"621",11,True
"623",11,True
"624",11,True
"625",11,True
"627",11,True
"629",11,True
"630",11,True
"631",11,True
"632",11,True
"634",11,True
"635",11,True
"638",11,True
"639",11,True
"641",11,True
"642",11,True
"644",11,True
"645",11,True
"646",11,True
"648",11,True
"649",11,True
"651",11,True
"652",11,True
"653",11,True
"655",11,True
"656",11,True
"657",11,True
"658",11,True
"659",11,True
"661",11,True
"662",11,True
"664",11,True
"666",11,True
"667",11,True
"669",11,True
"670",11,True
"671",11,True
"673",11,True
"674",11,True
"676",11,True
"677",11,True
"678",11,True
"680",11,True
"682",11,True
"683",11,True
"684",11,True
"686",11,True
"687",11,True
"690",11,True
"691",11,True
"693",11,True
"694",11,True
"696",11,True
"697",11,True
"698",11,True
"700",11,True
"701",11,True
"703",11,True
"704",11,True
"705",11,True
"707",11,True
"709",11,True
"710",11,True
"712",11,True
"713",11,True
"715",11,True
"716",11,True
"717",11,True
"719",11,True
"720",11,True
"722",11,True
"723",11,True
"724",11,True
"727",11,True
"730",11,True
"731",11,True
"355",11,False
"358",11,False
"360",11,False
"363",11,False
"366",11,False
"369",11,False
"371",11,False
"376",11,False
"378",11,False
"381",11,False
"384",11,False
"387",11,False
"389",11,False
"393",11,False
"395",11,False
"397",11,False
"402",11,False
"404",11,False
"407",11,False
"410",11,False
"413",11,False
"417",11,False
"419",11,False
"422",11,False
"425",11,False
"428",11,False
"430",11,False
"435",11,False
"437",11,False
"440",11,False
"443",11,False
"446",11,False
"448",11,False
"452",11,False
"455",11,False
"459",11,False
"461",11,False
"465",11,False
"468",11,False
"472",11,False
