Id,NodeClass,Seq,Suspect
"642","Technical",303,False
"643","Technical",304,False
"644","Technical",305,False
"645","Technical",306,False
"646","Technical",307,False
"647","Technical",308,False
"648","Technical",309,False
"649","Technical",310,False
"650","Technical",311,False
"651","Technical",312,False
"652","Technical",313,False
"653","Technical",314,False
"654","Technical",315,False
"655","Technical",316,False
"656","Technical",318,False
"657","Technical",319,False
"658","Technical",320,False
"659","Technical",321,False
"660","Technical",322,False
"661","Technical",323,False
"662","Technical",324,False
"663","Technical",325,False
"664","Technical",328,False
"665","Technical",329,False
"666","Technical",330,False
"667","Technical",331,False
"668","Technical",332,False
"669","Technical",333,False
"670","Technical",334,False
"671","Technical",335,False
"672","Technical",336,False
"673","Technical",337,False
"674","Technical",338,False
"675","Technical",339,False
"676","Technical",340,False
"677","Technical",341,False
"678","Technical",342,False
"679","Technical",343,False
"680","Technical",344,False
"681","Technical",345,False
"682","Technical",346,False
"683","Technical",347,False
"684","Technical",349,False
"685","Technical",350,False
"686","Technical",351,False
"687","Technical",352,False
"688","Technical",353,False
"689","Technical",354,False
"690","Technical",355,False
"691","Technical",356,False
"692","Technical",357,False
"693","Technical",358,False
"694","Technical",359,False
"695","Technical",360,False
"696","Technical",361,False
"697","Technical",362,False
"698","Technical",363,False
"699","Technical",364,False
"700","Technical",365,False
"701","Technical",366,False
"702","Technical",367,False
"703","Technical",368,False
"704","Technical",369,False
"705","Technical",370,False
"706","Technical",371,False
"707","Technical",372,False
"708","Technical",373,False
"709","Technical",374,False
"710","Technical",375,False
"711","Technical",376,False
"712","Technical",377,False
"713","Technical",378,False
"714","Technical",379,False
"715","Technical",380,False
"716","Technical",381,False
"717","Technical",382,False
"718","Technical",383,False
"719","Technical",384,False
"720","Technical",385,False
"721","Technical",386,False
"722","Technical",387,False
"723","Technical",388,False
"724","Technical",389,False
"725","Technical",390,False
"726","Technical",391,False
"727","Technical",392,False
"728","Technical",393,False
"729","Technical",394,False
"730","Technical",395,False
"731","Technical",396,False
"732","Technical",397,False
"733","Technical",398,False
