FromId,Type,ToId
"15","TREE","14"
"16","TREE","14"
"17","TREE","15"
"18","TREE","16"
"19","TREE","16"
"20","TREE","16"
"21","TREE","16"
"23","TREE","22"
"24","TREE","22"
"25","TREE","23"
"26","TREE","24"
"27","TREE","24"
"28","TREE","24"
"29","TREE","24"
"30","TREE","24"
"31","TREE","23"
"32","TREE","23"
"33","TREE","23"
"34","TREE","24"
"35","TREE","23"
"36","TREE","23"
"37","TREE","22"
