FromId,ToId,Id
"619","330","619->330"
"620","326","620->326"
"621","326","621->326"
"622","309","622->309"
"623","323","623->323"
"624","322","624->322"
"625","330","625->330"
"626","330","626->330"
"627","346","627->346"
"627","352","627->352"
"628","346","628->346"
"628","352","628->352"
"629","350","629->350"
"629","352","629->352"
"630","350","630->350"
"630","352","630->352"
"631","350","631->350"
"631","352","631->352"
"632","350","632->350"
"632","352","632->352"
"633","350","633->350"
"634","350","634->350"
"635","330","635->330"
"636","350","636->350"
"637","350","637->350"
"638","350","638->350"
"639","350","639->350"
"640","330","640->330"
"641","330","641->330"
"642","315","642->315"
"642","319","642->319"
"643","321","643->321"
"644","346","644->346"
"645","347","645->347"
"646","315","646->315"
"647","319","647->319"
"648","318","648->318"
"649","330","649->330"
"650","330","650->330"
"651","330","651->330"
"653","330","653->330"
"654","330","654->330"
"656","340","656->340"
"657","330","657->330"
"658","330","658->330"
"659","330","659->330"
"660","330","660->330"
"661","330","661->330"
"662","330","662->330"
"663","330","663->330"
"664","330","664->330"
"665","330","665->330"
"666","330","666->330"
"667","330","667->330"
"668","330","668->330"
"669","330","669->330"
"670","330","670->330"
"671","335","671->335"
"672","326","672->326"
"673","326","673->326"
"674","326","674->326"
"675","321","675->321"
"676","340","676->340"
"677","321","677->321"
"678","321","678->321"
"679","328","679->328"
"680","330","680->330"
"681","330","681->330"
"682","330","682->330"
"683","330","683->330"
"684","346","684->346"
"684","352","684->352"
"686","340","686->340"
"687","346","687->346"
"688","312","688->312"
"689","318","689->318"
"690","338","690->338"
"694","323","694->323"
"696","312","696->312"
"697","323","697->323"
"698","312","698->312"
"700","313","700->313"
"700","317","700->317"
"704","315","704->315"
"704","319","704->319"
"706","340","706->340"
"706","321","706->321"
"708","338","708->338"
"709","338","709->338"
"710","325","710->325"
"711","338","711->338"
"712","339","712->339"
"713","325","713->325"
"714","339","714->339"
"714","343","714->343"
"715","339","715->339"
"715","341","715->341"
"717","335","717->335"
"717","320","717->320"
"718","334","718->334"
"718","335","718->335"
"719","334","719->334"
"719","335","719->335"
"720","334","720->334"
"722","346","722->346"
"722","335","722->335"
"723","346","723->346"
"723","335","723->335"
"725","346","725->346"
"725","335","725->335"
"726","346","726->346"
"726","335","726->335"
"727","346","727->346"
"728","335","728->335"
"730","329","730->329"
"731","330","731->330"
"732","321","732->321"
"733","330","733->330"
