FromId,ToId,Type
"201","1","TREE"
"202","1","TREE"
"203","1","TREE"
"204","1","TREE"
"211","2","TREE"
"212","2","TREE"
"213","2","TREE"
"221","3","SELECT_TEXT"
"222","3","SELECT_TEXT"
"223","3","SELECT_TEXT"
"224","3","SELECT_TEXT"
"225","3","SELECT_TEXT"
"226","3","SELECT_TEXT"
"227","3","SELECT_TEXT"
"228","3","SELECT_TEXT"
"229","3","SELECT_TEXT"
"230","3","SELECT_TEXT"
"231","3","SELECT_TEXT"
"232","3","SELECT_TEXT"
"233","3","SELECT_TEXT"
"234","3","SELECT_TEXT"
"235","3","SELECT_TEXT"
"236","3","SELECT_TEXT"
"237","3","SELECT_TEXT"
"241","4","SELECT_TEXT"
"242","4","SELECT_TEXT"
"243","4","SELECT_TEXT"
"244","4","SELECT_TEXT"
"245","4","SELECT_TEXT"
"246","4","SELECT_TEXT"
"247","4","SELECT_TEXT"
"248","4","SELECT_TEXT"
"249","4","SELECT_TEXT"
"250","4","SELECT_TEXT"
"251","4","SELECT_TEXT"
"252","4","SELECT_TEXT"
"253","4","SELECT_TEXT"
"254","4","SELECT_TEXT"
"255","4","SELECT_TEXT"
"256","4","SELECT_TEXT"
"257","4","SELECT_TEXT"
"260","5","SELECT_TEXT"
"261","5","SELECT_TEXT"
"262","5","SELECT_TEXT"
"263","5","SELECT_TEXT"
"264","5","SELECT_TEXT"
