"fromTmpID","toTmpID","type"
"A03","D01","HAS_ARTEFACTS"
"A04","D02","RELATED_TO"
"D02","D03","RELATED_TO"
"D03","D04","RELATED_TO"
"D02","D05","RELATED_TO"
"D05","D06","RELATED_TO"
"D05","D07","RELATED_TO"
"D05","D08","RELATED_TO"
