"fromId","toId","type"
"591","327","DERIVED_FROM"
"546","327","DERIVED_FROM"
"354","327","DERIVED_FROM"
"679","328","DERIVED_FROM"
"730","329","REFERENCES"
"525","329","DERIVED_FROM"
"521","329","DERIVED_FROM"
"515","329","REFERENCES"
"523","329","DERIVED_FROM"
"524","329","DERIVED_FROM"
"641","330","DERIVED_FROM"
"659","330","DERIVED_FROM"
"519","330","REFERENCES"
"666","330","DERIVED_FROM"
"614","330","REFERENCES"
"570","330","DERIVED_FROM"
"599","330","DERIVED_FROM"
"507","330","DERIVED_FROM"
"626","330","DERIVED_FROM"
"649","330","DERIVED_FROM"
"668","330","DERIVED_FROM"
"561","330","REFERENCES"
"683","330","REFERENCES"
"680","330","DERIVED_FROM"
"662","330","DERIVED_FROM"
"733","330","REFERENCES"
"520","330","DERIVED_FROM"
"731","330","DERIVED_FROM"
"658","330","DERIVED_FROM"
"615","330","REFERENCES"
"444","330","REFERENCES"
"400","330","DERIVED_FROM"
"665","330","DERIVED_FROM"
"654","330","DERIVED_FROM"
"663","330","DERIVED_FROM"
"664","330","DERIVED_FROM"
"650","330","DERIVED_FROM"
"657","330","DERIVED_FROM"
"553","330","DERIVED_FROM"
"669","330","DERIVED_FROM"
"635","330","DERIVED_FROM"
"667","330","DERIVED_FROM"
"401","330","DERIVED_FROM"
"446","330","REFERENCES"
"518","330","DERIVED_FROM"
"682","330","DERIVED_FROM"
"660","330","DERIVED_FROM"
"445","330","REFERENCES"
"651","330","DERIVED_FROM"
"552","330","DERIVED_FROM"
"681","330","DERIVED_FROM"
"450","330","DERIVED_FROM"
"612","330","DERIVED_FROM"
"611","330","REFERENCES"
"670","330","DERIVED_FROM"
"601","330","REFERENCES"
"661","330","DERIVED_FROM"
"449","330","DERIVED_FROM"
"640","330","DERIVED_FROM"
"625","330","DERIVED_FROM"
"653","330","DERIVED_FROM"
"619","330","DERIVED_FROM"
"528","331","DERIVED_FROM"
"527","331","DERIVED_FROM"
"593","331","DERIVED_FROM"
"529","331","DERIVED_FROM"
"531","331","DERIVED_FROM"
"526","331","DERIVED_FROM"
"530","331","DERIVED_FROM"
"359","331","DERIVED_FROM"
"392","332","REFERENCES"
"393","332","REFERENCES"
"590","332","REFERENCES"
"558","332","REFERENCES"
"588","332","REFERENCES"
"589","332","REFERENCES"
