"tmpID","labels","name","type","modeluid","artefactDisplayName","constraints"
"MR01","MetaRequirement|REQ","Instance","PURPOSE","","Purpose","SINGLETON"
"MR02","MetaRequirement|REQ","Instance","STAKEHOLDER","","Stakeholder Need","MINIMUM_ONE_HARD_PARENT"
"MR03","MetaRequirement|REQ","Instance","TECHNICAL","","Technical Requirement","MINIMUM_ONE_HARD_PARENT"
