"fromTmpID","fromArtefactType","toTmpID","toArtefactType","type","constraints"
"MR02","STAKEHOLDER","MR01","PURPOSE","DERIVED_FROM",
"MR02","STAKEHOLDER","MR02","STAKEHOLDER","DERIVED_FROM","PARENT_NOT_DESCENDANT_BY_SAME_TYPE"
"MR03","TECHNICAL","MR02","STAKEHOLDER","DERIVED_FROM","CHILD_IS_TOP_LEVEL"
"MR03","TECHNICAL","MR03","TECHNICAL","DECOMPOSED_FROM","PARENT_SPECS_PARENT_COMPONENT"
"MR03","TECHNICAL","MR02","STAKEHOLDER","REFERENCES","PARENT_NOT_DESCENDANT_BY_ANY_TYPE"
"MR03","TECHNICAL","MR03","TECHNICAL","REFERENCES","PARENT_NOT_DESCENDANT_BY_ANY_TYPE"
"D01","N/A","MR01","PURPOSE","HAS_META_ARTEFACT",
"D01","N/A","MR02","STAKEHOLDER","HAS_META_ARTEFACT",
"D01","N/A","MR03","TECHNICAL","HAS_META_ARTEFACT",
